2025-03-22 20:37:46 - Mensaje recibido: {'move': 1, 'timestamp': 1742675866666}
2025-03-22 20:37:46 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:46 - Mensaje recibido: {'move': 0, 'timestamp': 1742675866675}
2025-03-22 20:37:46 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:48 - Jugador desconectado, total: 1
2025-03-22 20:37:49 - Jugador desconectado, total: 0
2025-03-22 20:37:49 - Jugador conectado: first, total: 1
2025-03-22 20:37:49 - Jugador conectado: second, total: 2
2025-03-22 20:37:52 - Mensaje recibido: {'move': -1, 'timestamp': 1742675872256}
2025-03-22 20:37:52 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:52 - Mensaje recibido: {'move': 0, 'timestamp': 1742675872724}
2025-03-22 20:37:52 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:52 - Mensaje recibido: {'move': 1, 'timestamp': 1742675872868}
2025-03-22 20:37:52 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742675873369}
2025-03-22 20:37:53 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742675873416}
2025-03-22 20:37:53 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742675873447}
2025-03-22 20:37:53 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742675873478}
2025-03-22 20:37:53 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742675873509}
2025-03-22 20:37:53 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742675873541}
2025-03-22 20:37:53 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742675873571}
2025-03-22 20:37:53 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742675873603}
2025-03-22 20:37:53 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742675873635}
2025-03-22 20:37:53 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742675873669}
2025-03-22 20:37:53 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:53 - Mensaje recibido: {'move': 0, 'timestamp': 1742675873685}
2025-03-22 20:37:53 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:53 - Mensaje recibido: {'move': -1, 'timestamp': 1742675873835}
2025-03-22 20:37:53 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:53 - Mensaje recibido: {'move': 0, 'timestamp': 1742675873922}
2025-03-22 20:37:53 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:54 - Mensaje recibido: {'move': -1, 'timestamp': 1742675874041}
2025-03-22 20:37:54 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:54 - Mensaje recibido: {'move': 0, 'timestamp': 1742675874172}
2025-03-22 20:37:54 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:54 - Mensaje recibido: {'move': -1, 'timestamp': 1742675874798}
2025-03-22 20:37:54 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:55 - Mensaje recibido: {'move': -1, 'timestamp': 1742675875301}
2025-03-22 20:37:55 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:55 - Mensaje recibido: {'move': -1, 'timestamp': 1742675875338}
2025-03-22 20:37:55 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:55 - Mensaje recibido: {'move': -1, 'timestamp': 1742675875381}
2025-03-22 20:37:55 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:55 - Mensaje recibido: {'move': -1, 'timestamp': 1742675875410}
2025-03-22 20:37:55 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:55 - Mensaje recibido: {'move': -1, 'timestamp': 1742675875441}
2025-03-22 20:37:55 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:55 - Mensaje recibido: {'move': 0, 'timestamp': 1742675875467}
2025-03-22 20:37:55 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:55 - Mensaje recibido: {'move': 1, 'timestamp': 1742675875664}
2025-03-22 20:37:55 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:56 - Mensaje recibido: {'move': 1, 'timestamp': 1742675876176}
2025-03-22 20:37:56 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:56 - Mensaje recibido: {'move': 0, 'timestamp': 1742675876191}
2025-03-22 20:37:56 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:56 - Mensaje recibido: {'move': -1, 'timestamp': 1742675876507}
2025-03-22 20:37:56 - Movimiento reenviado a otro jugador: -1
2025-03-22 20:37:56 - Mensaje recibido: {'move': 0, 'timestamp': 1742675876862}
2025-03-22 20:37:56 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:37:56 - Mensaje recibido: {'move': 1, 'timestamp': 1742675876988}
2025-03-22 20:37:56 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:57 - Mensaje recibido: {'move': 1, 'timestamp': 1742675877497}
2025-03-22 20:37:57 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:57 - Mensaje recibido: {'move': 1, 'timestamp': 1742675877528}
2025-03-22 20:37:57 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:57 - Mensaje recibido: {'move': 1, 'timestamp': 1742675877560}
2025-03-22 20:37:57 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:57 - Mensaje recibido: {'move': 1, 'timestamp': 1742675877592}
2025-03-22 20:37:57 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:57 - Mensaje recibido: {'move': 1, 'timestamp': 1742675877623}
2025-03-22 20:37:57 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:57 - Mensaje recibido: {'move': 1, 'timestamp': 1742675877655}
2025-03-22 20:37:57 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:57 - Mensaje recibido: {'move': 1, 'timestamp': 1742675877688}
2025-03-22 20:37:57 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:57 - Mensaje recibido: {'move': 1, 'timestamp': 1742675877734}
2025-03-22 20:37:57 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:57 - Mensaje recibido: {'move': 1, 'timestamp': 1742675877767}
2025-03-22 20:37:57 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:57 - Mensaje recibido: {'move': 1, 'timestamp': 1742675877797}
2025-03-22 20:37:57 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:57 - Mensaje recibido: {'move': 1, 'timestamp': 1742675877831}
2025-03-22 20:37:57 - Movimiento reenviado a otro jugador: 1
2025-03-22 20:37:57 - Mensaje recibido: {'move': 0, 'timestamp': 1742675877847}
2025-03-22 20:37:57 - Movimiento reenviado a otro jugador: 0
2025-03-22 20:38:10 - Jugador desconectado, total: 1
2025-03-22 20:38:14 - Jugador desconectado, total: 0
2025-03-23 15:01:33 - Jugador conectado: first, total: 1
2025-03-23 15:01:33 - Jugador conectado: second, total: 2
2025-03-23 15:01:35 - Mensaje recibido: {'move': -1, 'timestamp': 1742742095616}
2025-03-23 15:01:35 - Movimiento reenviado a otro jugador: -1
2025-03-23 15:01:36 - Mensaje recibido: {'move': 0, 'timestamp': 1742742096053}
2025-03-23 15:01:36 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:36 - Mensaje recibido: {'move': 1, 'timestamp': 1742742096586}
2025-03-23 15:01:36 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:37 - Mensaje recibido: {'move': 0, 'timestamp': 1742742097007}
2025-03-23 15:01:37 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:37 - Mensaje recibido: {'move': -1, 'timestamp': 1742742097173}
2025-03-23 15:01:37 - Movimiento reenviado a otro jugador: -1
2025-03-23 15:01:37 - Mensaje recibido: {'move': -1, 'timestamp': 1742742097688}
2025-03-23 15:01:37 - Movimiento reenviado a otro jugador: -1
2025-03-23 15:01:37 - Mensaje recibido: {'move': 0, 'timestamp': 1742742097716}
2025-03-23 15:01:37 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:37 - Mensaje recibido: {'move': 1, 'timestamp': 1742742097898}
2025-03-23 15:01:37 - Movimiento reenviado a otro jugador: 1
